parameters,dT_targets,likelihood,remaining_carbon_budget,future_warming
magicc_hdt_basis1.26_zecsd0.0,2.400000000000001,0.17,2905.6917145022726,1.1400000000000012
magicc_hdt_basis1.26_zecsd0.0,2.400000000000001,0.33,2152.1789568067115,1.1400000000000012
magicc_hdt_basis1.26_zecsd0.0,2.400000000000001,0.5,1740.8202237224173,1.1400000000000012
magicc_hdt_basis1.26_zecsd0.0,2.400000000000001,0.67,1445.73683000695,1.1400000000000012
magicc_hdt_basis1.26_zecsd0.0,2.400000000000001,0.83,1187.0679118010976,1.1400000000000012
magicc_hdt_basis1.26_zecsd0.0,2.400000000000001,0.9,1052.930847033714,1.1400000000000012
magicc_hdt_basis1.26_zecsd0.0,2.5000000000000013,0.1,4043.860051013183,1.240000000000001
magicc_hdt_basis1.26_zecsd0.0,2.5000000000000013,0.17,3197.0009059997105,1.240000000000001
magicc_hdt_basis1.26_zecsd0.0,2.5000000000000013,0.33,2373.1385869089154,1.240000000000001
magicc_hdt_basis1.26_zecsd0.0,2.5000000000000013,0.5,1923.2828143297888,1.240000000000001
magicc_hdt_basis1.26_zecsd0.0,2.5000000000000013,0.67,1600.6299166315096,1.240000000000001
magicc_hdt_basis1.26_zecsd0.0,2.5000000000000013,0.83,1318.0199340715692,1.240000000000001
magicc_hdt_basis1.26_zecsd0.0,2.5000000000000013,0.9,1171.486085833626,1.240000000000001
magiccfair_hdt_basis1.24_zecsd0.19,1.1,0.1,29.813374052237226,-0.1399999999999999
magiccfair_hdt_basis1.24_zecsd0.19,1.1,0.17,-122.37141232442018,-0.1399999999999999
magiccfair_hdt_basis1.24_zecsd0.19,1.1,0.33,-340.8363231131857,-0.1399999999999999
magiccfair_hdt_basis1.24_zecsd0.19,1.1,0.5,-528.0772779717386,-0.1399999999999999
magiccfair_hdt_basis1.24_zecsd0.19,1.1,0.67,-734.1854778549363,-0.1399999999999999
magiccfair_hdt_basis1.24_zecsd0.19,1.1,0.83,-1031.778834045468,-0.1399999999999999
magiccfair_hdt_basis1.24_zecsd0.19,1.1,0.9,-1285.5605823801188,-0.1399999999999999
magiccfair_hdt_basis1.24_zecsd0.19,1.2000000000000002,0.1,237.69725444417665,-0.0399999999999998
magiccfair_hdt_basis1.24_zecsd0.19,1.2000000000000002,0.17,67.23543613180351,-0.0399999999999998
magiccfair_hdt_basis1.24_zecsd0.19,1.2000000000000002,0.33,-163.49870824685223,-0.0399999999999998
magiccfair_hdt_basis1.24_zecsd0.19,1.2000000000000002,0.5,-349.2680573126375,-0.0399999999999998
magiccfair_hdt_basis1.24_zecsd0.19,1.2000000000000002,0.67,-543.0768735767322,-0.0399999999999998
magiccfair_hdt_basis1.24_zecsd0.19,1.2000000000000002,0.83,-807.4899139623284,-0.0399999999999998
magiccfair_hdt_basis1.24_zecsd0.19,1.2000000000000002,0.9,-1022.0663090843856,-0.0399999999999998
magiccfair_hdt_basis1.24_zecsd0.19,1.3000000000000005,0.1,467.7977735817256,0.0600000000000002
magiccfair_hdt_basis1.24_zecsd0.19,1.3000000000000005,0.17,270.5549829688808,0.0600000000000002
magiccfair_hdt_basis1.24_zecsd0.19,1.3000000000000005,0.33,19.48700857538996,0.0600000000000002
magiccfair_hdt_basis1.24_zecsd0.19,1.3000000000000005,0.5,-170.20693356177708,0.0600000000000002
magiccfair_hdt_basis1.24_zecsd0.19,1.3000000000000005,0.67,-357.1123668100615,0.0600000000000002
magiccfair_hdt_basis1.24_zecsd0.19,1.3000000000000005,0.83,-596.8590518681416,0.0600000000000002
magiccfair_hdt_basis1.24_zecsd0.19,1.3000000000000005,0.9,-780.2012020581728,0.0600000000000002
magiccfair_hdt_basis1.24_zecsd0.19,1.4000000000000004,0.1,719.7825254661607,0.1600000000000003
magiccfair_hdt_basis1.24_zecsd0.19,1.4000000000000004,0.17,487.5789587914471,0.1600000000000003
magiccfair_hdt_basis1.24_zecsd0.19,1.4000000000000004,0.33,207.9032805439106,0.1600000000000003
magiccfair_hdt_basis1.24_zecsd0.19,1.4000000000000004,0.5,8.580775995747132,0.1600000000000003
magiccfair_hdt_basis1.24_zecsd0.19,1.4000000000000004,0.67,-177.2722482318446,0.1600000000000003
magiccfair_hdt_basis1.24_zecsd0.19,1.4000000000000004,0.83,-400.7322204169279,0.1600000000000003
magiccfair_hdt_basis1.24_zecsd0.19,1.4000000000000004,0.9,-561.7148049276763,0.1600000000000003
magiccfair_hdt_basis1.24_zecsd0.19,1.5000000000000004,0.1,995.3309322892115,0.2600000000000004
magiccfair_hdt_basis1.24_zecsd0.19,1.5000000000000004,0.17,719.5967302936372,0.2600000000000004
magiccfair_hdt_basis1.24_zecsd0.19,1.5000000000000004,0.33,402.3588140388287,0.2600000000000004
magiccfair_hdt_basis1.24_zecsd0.19,1.5000000000000004,0.5,188.4393170062468,0.2600000000000004
magiccfair_hdt_basis1.24_zecsd0.19,1.5000000000000004,0.67,-1.3531641103439276,0.2600000000000004
magiccfair_hdt_basis1.24_zecsd0.19,1.5000000000000004,0.83,-217.0973845588519,0.2600000000000004
magiccfair_hdt_basis1.24_zecsd0.19,1.5000000000000004,0.9,-362.77612720369854,0.2600000000000004
magiccfair_hdt_basis1.24_zecsd0.19,1.6000000000000003,0.1,1288.7972419274022,0.3600000000000005
magiccfair_hdt_basis1.24_zecsd0.19,1.6000000000000003,0.17,962.6984113587388,0.3600000000000005
magiccfair_hdt_basis1.24_zecsd0.19,1.6000000000000003,0.33,601.5167346699316,0.3600000000000005
magiccfair_hdt_basis1.24_zecsd0.19,1.6000000000000003,0.5,368.4106671708257,0.3600000000000005
magiccfair_hdt_basis1.24_zecsd0.19,1.6000000000000003,0.67,169.70744917906902,0.3600000000000005
magiccfair_hdt_basis1.24_zecsd0.19,1.6000000000000003,0.83,-44.02233071959609,0.3600000000000005
magiccfair_hdt_basis1.24_zecsd0.19,1.6000000000000003,0.9,-180.95886060042992,0.3600000000000005
magiccfair_hdt_basis1.24_zecsd0.19,1.7000000000000006,0.1,1598.4430067552544,0.4600000000000006
magiccfair_hdt_basis1.24_zecsd0.19,1.7000000000000006,0.17,1216.4965346797312,0.4600000000000006
magiccfair_hdt_basis1.24_zecsd0.19,1.7000000000000006,0.33,805.566018540771,0.4600000000000006
magiccfair_hdt_basis1.24_zecsd0.19,1.7000000000000006,0.5,548.9440185319038,0.4600000000000006
magiccfair_hdt_basis1.24_zecsd0.19,1.7000000000000006,0.67,337.8791519476475,0.4600000000000006
magiccfair_hdt_basis1.24_zecsd0.19,1.7000000000000006,0.83,120.2060215080559,0.4600000000000006
magiccfair_hdt_basis1.24_zecsd0.19,1.7000000000000006,0.9,-13.266961274581506,0.4600000000000006
magiccfair_hdt_basis1.24_zecsd0.19,1.8000000000000007,0.1,1919.3063257139013,0.5600000000000007
magiccfair_hdt_basis1.24_zecsd0.19,1.8000000000000007,0.17,1477.8915417926237,0.5600000000000007
magiccfair_hdt_basis1.24_zecsd0.19,1.8000000000000007,0.33,1012.1298503735328,0.5600000000000007
